Length,Race,Price
32.0,5,420.0
43.8,5,538.0
46.0,4,690.0
37.6,2,866.0
48.6,2,976.0
35.8,3,718.0
41.7,1,1037.0
42.3,3,783.0
48.3,2,973.0
36.7,3,727.0
36.6,2,856.0
41.1,2,901.0
37.8,2,868.0
35.6,4,586.0
37.7,2,867.0
35.5,4,585.0
51.3,1,1133.0
34.4,3,704.0
38.8,2,878.0
32.8,5,428.0
38.4,2,874.0
44.1,5,541.0
36.1,2,851.0
44.3,5,543.0
34.9,4,579.0
40.7,4,637.0
42.5,1,1045.0
30.8,5,408.0
34.8,3,708.0
39.9,3,759.0
45.7,2,947.0
44.9,4,679.0
47.2,2,962.0
38.2,5,482.0
36.7,2,857.0
41.2,1,1032.0
38.6,5,486.0
45.0,2,940.0
48.1,3,841.0
50.8,1,1128.0
44.3,4,673.0
44.6,5,546.0
37.1,3,731.0
34.9,4,579.0
34.8,3,708.0
35.9,5,459.0
46.5,2,955.0
38.7,1,1007.0
45.7,1,1077.0
40.5,2,895.0
32.6,4,556.0
38.5,2,875.0
36.1,5,461.0
49.6,2,986.0
40.0,1,1020.0
44.3,4,673.0
45.6,3,816.0
44.3,1,1063.0
38.4,5,484.0
40.3,1,1023.0
48.9,2,979.0
41.8,5,518.0
47.0,3,830.0
50.4,2,994.0
46.5,2,955.0
42.9,3,789.0
36.6,5,466.0
44.3,4,673.0
38.1,3,741.0
36.6,3,726.0
38.8,1,1008.0
42.1,2,911.0
41.6,5,516.0
49.5,1,1115.0
40.8,2,898.0
41.5,1,1035.0
39.5,1,1015.0
41.5,1,1035.0
34.4,3,704.0
46.2,3,822.0
41.4,5,514.0
52.8,1,1148.0
43.9,5,539.0
48.1,2,971.0
34.7,5,447.0
47.3,1,1093.0
39.8,5,498.0
37.5,3,735.0
35.0,5,450.0
36.5,2,855.0
39.1,2,881.0
33.6,5,436.0
35.9,4,589.0
41.9,3,779.0
32.1,4,551.0
39.0,1,1010.0
44.0,5,540.0
51.4,1,1134.0
42.9,3,789.0
48.8,2,978.0
41.3,2,903.0
32.6,5,426.0
36.9,5,469.0
39.8,2,888.0
44.0,3,800.0
47.0,4,700.0
45.1,3,811.0
42.4,2,914.0
45.0,4,680.0
36.7,3,727.0
32.8,4,558.0
39.3,2,883.0
43.0,3,790.0
34.1,3,701.0
44.3,3,803.0
46.4,2,954.0
42.7,4,657.0
41.6,1,1036.0
40.2,1,1022.0
44.9,5,549.0
44.5,4,675.0
44.1,3,801.0
50.1,1,1121.0
43.5,5,535.0
39.4,4,624.0
37.2,3,732.0
34.1,5,441.0
34.3,3,703.0
44.3,2,933.0
42.7,5,527.0
39.8,2,888.0
45.4,2,944.0
50.9,2,999.0
32.5,5,425.0
34.6,5,446.0
47.3,2,963.0
45.2,2,942.0
41.1,3,771.0
46.0,4,690.0
37.5,5,475.0
51.5,1,1135.0
41.3,5,513.0
32.0,5,420.0
42.4,5,524.0
40.1,4,631.0
38.8,4,618.0
43.4,1,1054.0
45.8,2,948.0
44.9,2,939.0
34.7,3,707.0
50.7,2,997.0
39.6,3,756.0
41.4,2,904.0
40.4,4,634.0
45.6,3,816.0
42.2,1,1042.0
40.4,1,1024.0
46.4,2,954.0
47.0,2,960.0
42.6,2,916.0
34.4,5,444.0
31.5,5,415.0
43.1,2,921.0
38.6,2,876.0
37.8,3,738.0
41.0,4,640.0
40.4,1,1024.0
52.8,1,1148.0
34.3,5,443.0
35.7,5,457.0
39.2,1,1012.0
37.0,5,470.0
48.3,3,843.0
43.3,4,663.0
47.6,1,1096.0
47.5,2,965.0
46.2,2,952.0
42.1,1,1041.0
42.1,3,781.0
48.1,3,841.0
38.4,5,484.0
34.9,5,449.0
42.8,2,918.0
39.2,5,492.0
35.5,3,715.0
43.8,5,538.0
50.3,2,993.0
43.0,2,920.0
53.0,1,1150.0
46.8,3,828.0
43.5,3,795.0
48.7,2,977.0
38.3,1,1003.0
32.3,5,423.0
36.4,2,854.0
36.8,2,858.0
45.9,4,689.0
41.5,5,515.0
38.4,1,1004.0
38.8,3,748.0
33.3,5,433.0
39.5,1,1015.0
43.9,5,539.0
44.3,4,673.0
45.0,4,680.0
41.2,4,642.0
34.7,4,577.0
38.0,4,610.0
50.2,1,1122.0
49.3,1,1113.0
45.8,2,948.0
44.0,4,670.0
41.2,4,642.0
48.3,2,973.0
40.0,3,760.0
39.5,2,885.0
32.9,4,559.0
33.2,5,432.0
42.9,3,789.0
40.4,4,634.0
39.9,5,499.0
41.5,5,515.0
41.2,5,512.0
37.5,3,735.0
47.0,3,830.0
49.6,2,986.0
42.8,5,528.0
37.4,3,734.0
31.3,5,413.0
43.6,3,796.0
48.2,2,972.0
40.3,4,633.0
36.0,3,720.0
40.3,1,1023.0
35.5,5,455.0
43.9,5,539.0
39.1,4,621.0
41.8,3,778.0
40.3,4,633.0
35.9,5,459.0
34.9,4,579.0
42.9,4,659.0
46.0,1,1080.0
41.9,4,649.0
45.0,4,680.0
48.2,2,972.0
38.0,3,740.0
36.0,5,460.0
48.4,3,844.0
43.7,3,797.0
38.9,1,1009.0
35.8,5,458.0
43.5,3,795.0
38.0,2,870.0
35.4,4,584.0
31.8,5,418.0
34.7,3,707.0
43.7,5,537.0
35.8,5,458.0
43.4,5,534.0
38.6,1,1006.0
46.1,3,821.0
44.8,1,1068.0
45.5,3,815.0
39.3,3,753.0
48.5,3,845.0
39.4,3,754.0
41.1,1,1031.0
50.4,2,994.0
32.6,4,556.0
39.5,4,625.0
37.1,5,471.0
42.2,1,1042.0
43.6,4,666.0
38.8,2,878.0
36.9,3,729.0
42.7,3,787.0
37.7,3,737.0
42.6,2,916.0
32.4,5,424.0
50.5,1,1125.0
47.6,2,966.0
35.6,3,716.0
45.5,1,1075.0
34.9,5,449.0
31.9,5,419.0
40.9,3,769.0
47.3,2,963.0
51.3,1,1133.0
39.6,1,1016.0
51.3,1,1133.0
36.5,4,595.0
48.9,2,979.0
35.9,4,589.0
37.1,2,861.0
43.5,4,665.0
43.1,5,531.0
49.3,1,1113.0
36.0,2,850.0
47.6,1,1096.0
45.4,3,814.0
40.3,3,763.0
41.3,2,903.0
40.6,4,636.0
36.5,4,595.0
44.2,4,672.0
31.5,5,415.0
44.2,1,1062.0
43.2,3,792.0
47.0,3,830.0
34.7,3,707.0
46.5,1,1085.0
38.2,4,612.0
33.7,5,437.0
39.3,2,883.0
49.2,2,982.0
46.3,3,823.0
48.9,3,849.0
48.9,1,1109.0
38.2,4,612.0
32.5,5,425.0
42.6,4,656.0
42.5,1,1045.0
38.2,1,1002.0
38.1,2,871.0
45.2,4,682.0
36.2,4,592.0
43.0,1,1050.0
35.8,4,588.0
47.3,2,963.0
43.0,1,1050.0
42.4,2,914.0
42.7,4,657.0
47.8,1,1098.0
33.7,4,567.0
45.7,4,687.0
33.0,5,430.0
44.5,1,1065.0
46.0,3,820.0
39.4,4,624.0
46.9,2,959.0
37.9,5,479.0
50.8,2,998.0
45.4,3,814.0
38.7,5,487.0
38.8,5,488.0
49.5,2,985.0
47.0,1,1090.0
42.9,4,659.0
32.5,4,555.0
44.9,2,939.0
44.5,4,675.0
38.2,2,872.0
51.0,2,1000.0
36.6,5,466.0
40.4,3,764.0
36.8,3,728.0
34.6,5,446.0
49.5,1,1115.0
48.6,1,1106.0
42.8,1,1048.0
37.5,3,735.0
45.2,1,1072.0
44.7,3,807.0
49.1,1,1111.0
50.2,1,1122.0
39.1,1,1011.0
39.6,2,886.0
32.0,5,420.0
40.3,5,503.0
35.4,4,584.0
44.1,4,671.0
46.3,2,953.0
41.5,2,905.0
31.9,5,419.0
45.8,3,818.0
32.3,4,553.0
41.7,5,517.0
31.1,5,411.0
37.5,4,605.0
37.8,4,608.0
41.4,1,1034.0
40.2,3,762.0
50.5,1,1125.0
33.5,5,435.0
38.6,3,746.0
46.0,1,1080.0
41.9,4,649.0
31.3,5,413.0
45.4,2,944.0
40.8,5,508.0
32.9,5,429.0
40.5,3,765.0
30.8,5,408.0
41.8,4,648.0
46.4,4,694.0
38.8,1,1008.0
45.0,4,680.0
45.1,2,941.0
44.8,4,678.0
42.3,3,783.0
42.3,1,1043.0
41.9,5,519.0
45.3,2,943.0
45.6,1,1076.0
43.8,1,1058.0
46.8,4,698.0
48.2,1,1102.0
40.4,4,634.0
43.6,4,666.0
40.8,2,898.0
40.5,5,505.0
40.4,2,894.0
48.5,1,1105.0
36.6,3,726.0
47.2,1,1092.0
34.4,4,574.0
44.6,5,546.0
39.8,3,758.0
44.1,5,541.0
43.9,4,669.0
45.5,2,945.0
36.6,5,466.0
38.9,4,619.0
42.3,5,523.0
41.1,1,1031.0
47.7,3,837.0
48.5,2,975.0
36.6,3,726.0
40.2,5,502.0
35.3,5,453.0
35.8,5,458.0
53.0,1,1150.0
44.7,5,547.0
45.3,4,683.0
37.5,3,735.0
47.9,3,839.0
42.4,3,784.0
50.5,1,1125.0
30.1,5,401.0
38.1,4,611.0
39.4,3,754.0
39.9,4,629.0
38.8,1,1008.0
33.3,4,563.0
43.8,3,798.0
40.0,3,760.0
46.9,1,1089.0
42.6,2,916.0
43.7,4,667.0
46.8,3,828.0
46.2,3,822.0
33.3,4,563.0
50.7,1,1127.0
43.8,2,928.0
40.7,1,1027.0
33.1,5,431.0
38.2,1,1002.0
38.1,5,481.0
42.2,3,782.0
48.5,2,975.0
52.4,1,1144.0
48.4,2,974.0
41.7,2,907.0
45.5,4,685.0
36.2,3,722.0
46.1,2,951.0
42.0,4,650.0
50.7,2,997.0
38.4,3,744.0
44.5,5,545.0
38.3,1,1003.0
36.6,2,856.0
36.0,5,460.0
41.4,5,514.0
43.0,2,920.0
41.9,2,909.0
36.2,2,852.0
45.9,4,689.0
38.1,5,481.0
46.7,3,827.0
40.8,5,508.0
37.2,3,732.0
30.6,5,406.0
40.0,3,760.0
50.7,2,997.0
42.1,3,781.0
40.0,3,760.0
40.6,3,766.0
34.3,4,573.0
36.1,4,591.0
42.9,4,659.0
44.7,3,807.0
47.1,2,961.0
36.0,5,460.0
43.8,2,928.0
49.7,1,1117.0
44.9,4,679.0
34.1,5,441.0
39.7,3,757.0
35.0,3,710.0
44.0,5,540.0
42.4,2,914.0
33.3,5,433.0
38.8,2,878.0
38.9,5,489.0
47.8,2,968.0
39.5,2,885.0
40.1,5,501.0
41.9,2,909.0
44.9,2,939.0
37.8,3,738.0
45.5,3,815.0
44.4,3,804.0
41.0,1,1030.0
49.2,2,982.0
39.8,3,758.0
43.8,2,928.0
43.8,3,798.0
47.1,2,961.0
34.4,3,704.0
49.2,1,1112.0
37.2,2,862.0
42.5,3,785.0
32.6,5,426.0
34.7,3,707.0
42.9,5,529.0
38.1,4,611.0
40.0,3,760.0
36.0,3,720.0
40.9,5,509.0
37.0,2,860.0
44.3,2,933.0
44.8,4,678.0
45.7,1,1077.0
43.8,4,668.0
47.5,2,965.0
35.5,3,715.0
40.4,2,894.0
41.3,4,643.0
47.2,3,832.0
46.8,1,1088.0
46.2,2,952.0
43.3,2,923.0
46.9,1,1089.0
42.0,4,650.0
50.2,1,1122.0
42.2,5,522.0
41.4,5,514.0
43.5,1,1055.0
38.0,2,870.0
36.6,2,856.0
42.5,1,1045.0
41.6,2,906.0
41.5,1,1035.0
47.2,1,1092.0
37.2,3,732.0
50.8,2,998.0
40.6,2,896.0
40.3,4,633.0
40.1,4,631.0
52.8,1,1148.0
40.9,5,509.0
41.0,5,510.0
37.4,2,864.0
42.3,5,523.0
46.5,2,955.0
43.8,3,798.0
36.1,2,851.0
46.3,3,823.0
48.3,2,973.0
36.5,4,595.0
44.4,1,1064.0
50.3,2,993.0
50.6,1,1126.0
47.2,3,832.0
44.7,5,547.0
44.1,4,671.0
44.9,5,549.0
45.7,4,687.0
39.9,3,759.0
45.3,3,813.0
32.1,4,551.0
43.1,4,661.0
35.5,4,585.0
32.4,4,554.0
41.5,5,515.0
47.6,3,836.0
48.4,1,1104.0
47.7,2,967.0
34.9,3,709.0
43.7,2,927.0
46.4,1,1084.0
50.4,2,994.0
48.0,3,840.0
38.7,3,747.0
47.0,3,830.0
35.9,4,589.0
49.9,1,1119.0
38.0,4,610.0
46.0,2,950.0
39.6,2,886.0
52.6,1,1146.0
43.8,2,928.0
42.2,5,522.0
34.5,4,575.0
48.1,3,841.0
46.2,1,1082.0
46.6,4,696.0
43.0,4,660.0
37.4,5,474.0
36.1,5,461.0
49.3,2,983.0
42.5,4,655.0
38.7,1,1007.0
39.4,4,624.0
47.9,1,1099.0
44.6,2,936.0
39.1,5,491.0
41.1,1,1031.0
41.8,1,1038.0
44.8,3,808.0
47.0,4,700.0
40.6,3,766.0
41.4,3,774.0
45.5,3,815.0
52.2,1,1142.0
38.4,5,484.0
34.7,5,447.0
44.1,1,1061.0
51.3,1,1133.0
45.9,2,949.0
40.9,4,639.0
46.7,3,827.0
49.2,2,982.0
45.5,2,945.0
40.2,1,1022.0
36.2,2,852.0
47.5,1,1095.0
46.4,3,824.0
34.6,5,446.0
51.2,1,1132.0
31.3,5,413.0
40.4,2,894.0
49.1,1,1111.0
47.5,2,965.0
45.0,2,940.0
42.1,1,1041.0
34.3,5,443.0
42.0,5,520.0
48.9,1,1109.0
48.7,3,847.0
40.9,2,899.0
34.3,5,443.0
49.6,2,986.0
42.8,1,1048.0
44.7,5,547.0
44.5,5,545.0
33.3,4,563.0
40.6,4,636.0
49.3,1,1113.0
37.8,3,738.0
52.8,1,1148.0
42.4,3,784.0
36.9,2,859.0
34.5,5,445.0
48.9,1,1109.0
48.8,1,1108.0
34.8,5,448.0
39.1,1,1011.0
42.8,1,1048.0
39.6,2,886.0
47.0,2,960.0
44.6,4,676.0
32.3,5,423.0
42.6,5,526.0
31.3,5,413.0
38.4,1,1004.0
41.9,3,779.0
47.4,1,1094.0
42.1,2,911.0
42.0,4,650.0
44.3,5,543.0
38.6,1,1006.0
41.0,2,900.0
35.7,5,457.0
36.5,2,855.0
40.6,2,896.0
40.8,4,638.0
